Date,Affected pages
2026-01-27,37
2026-01-28,37
2026-01-29,37
2026-01-30,37
2026-01-31,37
2026-02-01,31
2026-02-02,31
2026-02-03,31
2026-02-04,17
2026-02-05,17
2026-02-06,17
2026-02-07,17
2026-02-08,16
2026-02-09,16
2026-02-10,16
2026-02-11,16
2026-02-12,16
2026-02-13,16
2026-02-14,16
2026-02-15,16
2026-02-16,16
2026-02-17,16
2026-02-18,14
2026-02-19,14
2026-02-20,14
2026-02-21,14
